system 5th 25th 50th 75th 90th
cassandra 16.294 9.221999999999998 1.426000000000002 1.439 1.3594000000000008
sconekv 8.1268 3.289200000000001 4.536 4.988999999999999 3.907200000000003
cockroach 4.7942 1.5208000000000004 11.392 11.55 10.584599999999998
