system 5th 25th 50th 75th 90th
cassandra 0.0 0.0 20.48 237.568 57.343999999999994
sconekv 0.0 0.0 0.0 0.0 69.632
cockroach 0.0 172.032 3252.228 2211.84 7613.640000000045
