system 5th 25th 50th 75th 90th
cassandra 0.0 0.0 53.248 1097.732 481.6840000000002
sconekv 0.0 0.0 0.0 20.48 53.24799999999999
cockroach 0.0 253.952 2289.6679999999997 3162.1099999999997 4612.110000000002
