system 5th 25th 50th 75th 90th
cassandra 7.4164 1.9096000000000002 0.8759999999999994 0.7070000000000007 0.5129999999999999
sconekv 2.553 1.2480000000000002 1.0439999999999996 1.2760000000000007 1.4068000000000005
cockroach 0.975 0.523 1.606 3.7 1.2864000000000004
