system 5th 25th 50th 75th 90th
cassandra 15.564 2.3850000000000016 3.8379999999999974 7.591000000000001 8.308
sconekv 4.0426 1.6903999999999995 1.295 1.2770000000000001 0.799199999999999
cockroach 1.4699999999999998 1.177 4.0649999999999995 3.742000000000001 2.3496000000000006
