system 5th 25th 50th 75th 90th
cassandra 891.6114 507.80860000000007 217.12999999999988 157.27999999999997 111.88799999999992
sconekv 749.5198 357.5301999999999 312.74 414.85000000000014 474.44399999999973
cockroach 388.94640000000004 192.62659999999994 218.59900000000005 965.488 1904.1120000000008
