system 5th 25th 50th 75th 90th
cassandra 3.698 1.1720000000000002 0.44099999999999984 0.4530000000000003 0.3662000000000001
sconekv 2.668 0.847 0.7490000000000001 1.0379999999999994 1.1938000000000004
cockroach 1.7086000000000001 0.4653999999999998 0.9569999999999999 3.6600000000000006 0.7015999999999991
