system 5th 25th 50th 75th 90th
cassandra 0.0 0.0 28.672 122.88 49.152000000000015
sconekv 0.0 0.0 0.0 16.384 53.248000000000005
cockroach 0.0 143.36 1400.83 2310.15 3325.1320000000005
