system 5th 25th 50th 75th 90th
cassandra 791.2868 164.97820000000002 51.245000000000005 44.26999999999998 43.59400000000028
sconekv 828.2225999999999 217.05740000000003 207.20000000000005 238.68000000000006 443.452
cockroach 991.9622 97.09779999999989 107.24000000000001 1113.03 1774.5780000000004
