system 5th 25th 50th 75th 90th
cassandra 0.0 0.0 98.304 565.248 8926.822
sconekv 0.0 0.0 0.0 16.384 49.152
cockroach 0.0 196.608 3567.6119999999996 3145.73 36098.05000000002
