1   120      92.6667  42
2   90       80.6667  25
3   106.333  105.667  21.3333
4   108.333  96       23.6667
5   123      126.333  24
6   130.667  132.667  25.6667
7   136      117      19.6667
8   136.333  168.333  33
9   146.667  160.333  18.3333
10  139      181      29
11  130      153.667  27.6667
12  133.333  172.333  20.6667
13  143.333  206.333  16
14  154.667  196      21.6667
15  158      144.667  19.3333
16  143      197.667  16
17  147.667  209.667  19.3333
18  159      194      26
19  138.333  209      22.3333
20  130.333  233.333  21.3333
21  141.667  197.333  23
22  161.667  223.667  17
23  175      188      25.3333
24  156      229      22.6667
25  161      185.333  22
26  171.333  225      19.6667
27  100.333  227.667  42.3333
28  106      48.6667  0
29  108.333  0        0
30  95       0        0
31  111.667  0        0
32  120.333  0        0
33  145      0        15.6667
34  162.333  0        9
35  142.667  0        12.6667
36  142      0        27.6667
37  156.667  0        21.3333
38  177.667  16.3333  25.3333
39  185.667  0        27
40  164.333  0        21.6667
41  165.333  0        23
42  168.667  2.33333  27
43  170.667  4.66667  24.6667
44  206.333  1        24.3333
45  161.333  9.66667  22.3333
46  153.333  85       22
47  152.333  113.667  32.3333
48  186.667  135.333  28
49  166.333  141.333  20
50  155.667  118.667  22.6667
51  168.333  139      26.6667
52  171      175      22.6667
53  163      193.667  25
54  165.333  182.667  19.6667
55  158.667  232      25.3333
56  155.667  203      26.6667
57  153      208      24.6667
58  175.667  237.667  25
59  175.333  242      25.6667
60  171.333  224      34.3333
